organization_name,external_id,schema_type,description,aliases,published_date,updated_date,data_source_url
Kurdistan Workers Party (PKK),43,Terrorist Organization,"Formally established in Turkey in 1978 by Abdullah Ocalan, the Kurdistan Workers Party (PKK / KADEK) is a Kurdish political party whose main goal is the creation of an independent Kurdish state in southeast Turkey and in northern Iraq, a region that is part of the traditional territory of the Kurdish people. The PKK has conducted guerrilla ambushes and hit‐and‐run attacks on Turkish army convoys and outposts, typically using assault rifles, remote‐controlled improvised explosive devices, and rocket‐propelled grenades. Its activities include attacking the Turkish military, diplomats and Turkish businesses at home and in some western European cities. It has also been known to bomb resorts and kidnap tourists in an attempt to destabilize tourism in Turkey. In September 2022, PKK militants claimed that they had targeted a police station, in the Bagok mountain region of Turkey, with firearms and killed one police officer, and wounded at least one other. In October 2023, suicide bombers detonated an explosive device near an entrance of Turkey’s Interior Ministry, wounding two police officer. Turkish authorities identified one of the attackers as a member of the PKK.",Partya Karkeren Kurdistan; Kurdistan Labor Party; Kurdistan Freedom; Democracy Congress; KADEK; Kurdistan People's Congress; Kurdistan Halk Kongresi (KHK); People's Congress of Kurdistan; Kongra-Gel,2002-12-10,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
La Familia Michoacana,2025-02-20-5,Terrorist Organization,"Factions include: Los Caballeros Templarios (Knights Templar), La Nueva Familia Michoacana (also known as the New Michoacán Family; LNFM). La Familia Michoacana (LFM) is a criminal organization based in Michoacán state, Mexico, that follows a quasi-Christian fundamentalist ideology which focuses on their “divine right” to carry out activities. LFM and its successor groups see themselves as protectors and “defenders of the people” against other organized crime groups operating in the region, despite themselves being a source of instability and violence in the regions where they operate. LFM has engaged in fighting with other organized crime groups and civilians in an effort to maintain regional control. To present day, ongoing conflicts involving LFM have generated terror among the population and has displaced residents through indiscriminate violence. In December 2023, LFM kidnapped 14 residents in Texcaltitlán, demanding local residents hand over the leaders of an uprising that killed ten of LFM’s gunmen.",The Michoacán Family; La Familia,2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
La Mara Salvatrucha,2025-02-20-6,Terrorist Organization,"La Mara Salvatrucha (MS-13) is a transnational criminal organization primarily operating out of El Salvador, with a significant presence in Honduras, Guatemala, and the United States. In El Salvador, MS-13 has evolved from its origins as a street gang into a criminal-economic-military-political power. MS-13 has engaged in widespread, targeted killings of law enforcement and other state officials; the indiscriminate killings of civilians; have used violence to shut down or seize control of vital public services; have established military-style training camps for its members; and have obtained military weapons in order to instill terror and enforce their will on the state and populace. In 2019 in El Salvador, MS-13 put a fake body in an abandoned car to lure police officers into a car-bomb attack, wounding two officers. In March 2022, El Salvador declared a state of emergency after MS-13 and other entities went on a killing spree resulting in a total of 87 homicides in 72 hours.",MS-13,2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Lashkar-e-Jhangvi (LJ),44,Terrorist Organization,"As a radical Islamist group reportedly linked to Al Qaida, Lashkar-e-Jhangvi (LJ) aims to establish an Islamist Sunni state in Pakistan based on Sharia Law – through the use of violence if necessary – and to have all Shiites declared non-believers. It is reputed as being one of the most violent Islamist extremist organizations in Pakistan. Responsible for killing hundreds of Shiites since its formation in 1996, LJ was behind some of the worst incidents of sectarian violence in Pakistan's history. It has also been accused of involvement in the killing of Shia Muslim civilians in Afghanistan in 1997, 2011, and 2013, as well as the beheading of United States journalist Daniel Pearl in February 2002 and a suicide vehicle-borne improvised explosive attack on the Marriott Hotel in Islamabad in September 2008, which killed 53 people. In October 2015, for example, a group of LJ members conducted a suicide attack at a Shiite mosque in Bolan, Baluchistan, killing at least 11 people and wounding another 13. More recently, in June 2017, LJ claimed responsibility for a double suicide bombing at a crowded market in Parachinar, Pakistan, which killed at least 67 people and wounded over 200 others. On August 18, 2023, in Orangi Town, Karachi, Pakistan, three LJ militants shot and killed a local Pakistan People’s Party leader, identified as Amjad Hussain. LJ in a statement claimed responsibility for killing him for being Shia.",Lashkar-i-Jhangvi; Lashkar-e-Jhangvie; Laskar-e- Jhangvi; Lashkare Jhangvi; Lashkar-e-Jhangwi; Lashkar-i-Jhangwi; Jhangvi Army; Lashkar-e Jhangvi; Lashkar Jhangvi; Lashkar-e-Jhanvi (LeJ); Lashkar-i-Jangvi; Lashkar e Jhangvi; Lashkar Jangvi; Laskar e Jahangvi,2003-06-18,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Lashkar-e-Tayyiba (LeT),45,Terrorist Organization,"Lashkar-e-Tayyiba (LeT) is a Pakistan-based, radical organization established in the late 1980s that operates in the Indian states of Kashmir and Jammu. LeT is also active in Afghanistan in areas along the border with Pakistan. Its overall objective is to force the accession of Indian administered Kashmir to Pakistan and to create two Islamist-run states, in the North and in the South of India. LeT's activities include suicide bombings and armed attacks on civilians, government officials and the Indian security forces. The United Nations Security Council reported in 2020 that LeT facilitates the trafficking of terrorist fighters into Afghanistan to act as experts on improvised explosive devices. Moreover, LeT is responsible for carrying out targeted assassinations against government officials and others. The group has a long standing relationship with Al Qaida. LeT has fostered ties with various Islamist militant groups including the Indian Mujahideen, the Haqqani Network, Jaish-e-Mohammed, and the Taliban. LeT's most infamous operation was the 60-hour terror attack in Mumbai on November 26-28, 2008. The LeT has targeted security personnel such as in the December 2014 attack at a Mohara artillery camp that killed 17 people including soldiers and policemen, and the February 2016 attack on a police convoy that killed two police officers and injured 10 others. On May 14, 2020, a suicide bomber detonated an explosive-laden vehicle at a military facility in Gardez, Paktia, Afghanistan, killing six 6 people and injuring at least 19 others.",Jamaat-ud-Dawa (JuD) (Society for Preaching); al-Anfal Trust; Tehrik-e-Hurmate-e-Rasool; al Mansoorian (The Victorious); Army of the Pure; Paasban-e-Kashmir (Kashmir Brigade); Paasban-i-Ahle-Hadith (Ahle-Hadith Brigade); Falah-i-Insaniat Foundation (FIF); Idara Khidmat-e-Khalq; Lashkar-e-Toiba; Lashkar-i-Toiba (LiT); Lashkar-i-Taiba (Holy Regiment); Lashkar-e-Tayyiba (LT) (Army of the Righteous); Lashkar-e-Taibyya; Lashkar-e-Taiba; Lashkar-e-Tayyiba (Army of the Pure; Righteous); Lashkar-e-Taiba (Righteous Army); Lashkar-Taiba (Army of the Good); Lashkar e Toiba; Lashkar e Taiba; Lashkar-E-Tayyaba; Lashkar e Tayyiba,2003-06-18,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Liberation Tigers of Tamil Eelam (LTTE),46,Terrorist Organization,"Founded in 1976, the Liberation Tigers of Tamil Eelam (LTTE) is a Sri Lankan-based terrorist organization that seeks the creation of an independent homeland called ""Tamil Eelam"" for Sri Lanka's ethnic Tamil minority. Over the years, the LTTE has waged a violent secessionist campaign with the help of ground, air, and naval forces, as well as a dedicated suicide bomber wing. LTTE tactics have included full military operations, terror attacks against civilian centres, and political assassinations, such as the successful assassinations of Indian Prime Minister Rajiv Ghandi and Sri Lankan President Ranasinghe Premadasa. The LTTE has also had an extensive network of fundraisers, political and propaganda officers, and arms procurers operating in Sri Lanka and within the Tamil diaspora. Although the LTTE was militarily defeated in May 2009, subversion, destabilization, and fundraising continue, particularly in the diaspora. As of June 2022, there have been no known LTTE attacks in Sri Lanka since the group’s military defeat in 2009. However, weakened remnants of LTTE continue to operate in Sri Lanka and in Tamil Nadu, India. In addition, the LTTE has an international fundraising and procurement network that continues to exist.",The Tamil Tigers; the Eellalan Force; the Ellalan Force; the Tiger Movement; the Sangilian Force; the Air Tigers; the Black Tigers (Karum Puligal); the Sea Tigers; the Tiger Organization Security Intelligence Service (TOSIS); the Women's Combat Force of Liberation Tigers (WCFLT),2006-04-08,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Maniac Murder Cult,2025-123,Terrorist Organization,"Maniac Murder Cult (MMC) is an ideologically motivated violent extremist group founded in 2018. While primarily based in Russia and Ukraine, its members are found around the world. MMC adheres to a nihilistic national socialist, militant accelerationist, and neo-Nazi ideology believing in the necessity of violent, nihilistic actions to promote fear and chaos to further the perceived collapse of Western society. MMC operates online and also seeks to mobilize offline violence, promoting violence and violent acts against racial and ethnic minorities, the Jewish community, individuals experiencing homelessness and/or mental illness, and other groups it deems as ""undesirables"". A primary objective of MMC is for its adherents to be viewed as the most sadistic threat actors, and share instructional material on a variety of tactics, including how to attack prospective victims and avoid detection. Members are required to record and share their violent activities in a bid to inspire and mobilize further extremism. On January 22, 2025, a 17-year-old student shot and killed a schoolmate at Antioch High School in Nashville, Tennessee. According to prosecutors, the shooter said he had been acting on behalf of the MMC, and his manifesto named MMC's leader Mikhail Chkhikvishvili as his inspiration. In early 2025, a 19-year-old from Winnipeg was arrested and charged for allegedly spray-painting racist and antisemitic graffiti. The 19-year-old was later charged with four terrorism-related changes after an investigation found links to MMC. In August 2024, an individual wearing a tactical vest adorned with Nazi symbols livestreamed himself stabbing approximately five people outside a mosque in Eskisehir, Türkiye. A manifesto attributed to the attacker included explicit references to violent statements made by Chkhikvishvili. Before the attack, the attacker distributed violent propaganda, including MMC's ideological and its instructional manual, the",Maniacs: Cult of Killing; Manyaki; Kult Ubiystva; MKY; M.K.Y.; MKU,2025-12-08,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Movement for Oneness and Jihad in West Africa (MOJWA),47,Terrorist Organization,"The Movement for Oneness and Jihad in West Africa is a splinter group of al Qaida in the Islamic Maghreb. Formed in 2011, the Movement for Oneness and Jihad in West Africa (MOJWA) seeks to spread jihad across West Africa and establish a strict form of Sharia Law. The Movement for Oneness and Jihad in West Africa has carried out terrorist activities including kidnappings, small arms attacks, improvised explosive devices attacks, and suicide bombings. On May 23, 2013, MOJWA and al'Muwaqi'un Bil-Dima (MBD) launched twin suicide attacks against a Nigerien army base and a French uranium mine in Niger, killing 25 people. MOJWA merged with MBD to form Al-Murabitoun, in August 2013.",MOJWA; Mouvement pour l'unicité et le jihad en Afrique de l'Ouest; MUJAO; Jamat Tawhid wal Jihad fi Garbi Afriqqiya; Jamaat Tawhid Wal Jihad Fi Garbi Ifriqiya.,2014-06-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Palestine Liberation Front (PLF),48,Terrorist Organization,"The Palestine Liberation Front (PLF) is a small, armed splinter group allied to the Palestinian Liberation Organization (PLO). Its objective is the destruction of the State of Israel and the establishment of an independent Palestinian state with Jerusalem as its capital. First founded in 1961 by Ahmad Jibril, the group operates primarily in Europe, Israel, Lebanon and other areas in the Middle East. During its most active period, it is known to have conducted several high-profile attacks, including the October 1985 hijacking of the Italian cruise ship, Achille Lauro.",PLF-Abu Abbas Faction; Front for the Liberation of Palestine (FLP),2003-11-13,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Palestinian Islamic Jihad (PIJ),49,Terrorist Organization,"Founded in the late 1970s, the Palestinian Islamic Jihad (PIJ) is one of the most violent Palestinian terrorist groups. The PIJ maintains that armed struggle by the Palestinian people, in tandem with active support from the Arab and Muslim worlds, is the only viable strategy for achieving its objectives - the destruction of Israel and the complete liberation of Palestine. The PIJ was among the first to use suicide bomb attacks against Israel. In 1995, two PIJ suicide bombers executed a coordinated attack at a bus stop in Beit Lid, killing 19 people and wounding 61. PIJ claimed responsibility for the October 3, 2015, knife attack in Jerusalem which killed 2 Israeli men and wounded the wife and child of one of the deceased. On February 23, 2020, rockets were fired toward southern Israel after Israel said it had killed a Palestinian militant who tried to place a bomb along the Israel-Gaza barrier fence. PIJ launched several rockets at Israel by the time the ceasefire was announced.",Harakat al-Jihad al-Islami fi Filistin; Saraya Al-Quds (The Jerusalem Brigades); Al-Quds Brigades; Islamic Jihad; Palestine Islamic Jihad-Shaqaqi Faction; Palestinian Islamic Jihad-Shaqaqi; PIJ-Shaqaqi Faction; PIJ-Shallah Faction; Islamic Jihad of Palestine; Islamic Jihad in Palestine; Abu Ghunaym Squad of the Hizballah Bayt Al-Maqdis; Al-Quds Squads; Al-Awdah Brigades; Islamic Jihad Palestine (IJP); Islamic Jihad – Palestine Faction; Islamic Holy War,2002-11-27,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Popular Front for the Liberation of Palestine - General Command (PFLP-GC),50,Terrorist Organization,"Founded in 1968, the Popular Front for the Liberation of Palestine - General Command (PFLP-GC) is an Islamist Communist group committed to the establishment of a Palestinian state and the destruction of Israel. The group is opposed to any negotiation with Israel and believes solely in a military solution to the Israeli-Palestinian conflict. It was the first Palestinian group to use suicide squads: in 1974, three members attacked Qiryat Shemona and killed 18 people before dying in a battle with Israeli soldiers. The PFLP-GC has used barometric bombs to blow up aircraft, parcel-explosives sent through the mail as well as motorized hang-gliders in a guerilla raid into Israel. During the 1990s, the PFLP-GC limited its activities to training and equipping other terrorist groups, such as Hamas and the Palestinian Islamic Jihad. In December 2015, PFLP-GC claimed responsibility for the firing of three rockets on Northern Israel in retaliation for the assassination of a Hizballah member in Syria.",Al-Jibha Sha'biya lil-Tahrir Filistin-al-Qadiya al-Ama,2003-11-13,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Popular Front for the Liberation of Palestine (PFLP),51,Terrorist Organization,"Formed in 1967, the goals of the Popular Front for the Liberation of Palestine (PFLP) are the destruction of the State of Israel and the establishment of a communist government in Palestine. During the 1970s, the group took part in some of the boldest terrorist attacks of the period, such as hijacking three civilian airliners in one day and storming the Vienna headquarters of the Organization of Petroleum Exporting Countries (OPEC). In 2000, the PFLP turned increasingly to the use of suicide bombers, guerilla tactics, car bombings, and mortar strikes. The PFLP was also responsible for the first assassination of a cabinet minister in Israel's history, killing Tourism Minister Rehavam Zeevi in 2001. In 2014, the PFLP claimed responsibility for a November gun and knife attack at an Orthodox Jewish synagogue in West Jerusalem that killed 6 people. On June 16, 2017, two coordinated attacks targeting Israeli police officers were carried out near the Damascus Gate of Jerusalem's walled old city. In September 2019, the Israeli security forces arrested four PFLP members allegedly responsible for remotely detonating an improvised explosive device in the West Bank that killed an Israeli teenager and seriously wounded two family members.",Halhul Gang; Halhul Squad; Palestinian Popular Resistance Forces; PPRF; Red Eagle Gang; Red Eagle Group; Red Eagles; Abu Ali Mustafa Brigades; Al-Jibha al-Sha'biya lil-Tahrir Filistin,2003-11-13,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Proud Boys,510,Terrorist Organization,"The Proud Boys are an ideologically motivated violent extremist group formed in 2016 that engages in political violence. The group embraces a white supremacist and antisemitic ideology, viewing themselves as warriors and patriots defending the traditional American way of life and family values by opposing progressive policies and social justice movements (e.g., Black Lives Matter). Comprised of semi-autonomous chapters, the group and its members have openly encouraged, planned, and conducted violent activities against those they perceive to be opposed to their ideology and political beliefs. The group regularly attends Black Lives Matter (BLM) protests as counter-protesters, often engaging in violence targeting BLM supporters. In October 2018, members of the Proud Boys attacked four people who were protesting a speech by the Proud Boys founder, Gavin McInnes. Two members of the Proud Boys were convicted for their role in the attack; video footage showed one of the convicted, and others exalting about ""smashing"" the head of a ""foreigner"". On January 6, 2021, the Proud Boys played a pivotal role in the insurrection at the U.S. Capitol. Leaders of the group planned their participation by setting out objectives, issuing instructions, and directing members during the insurrection.",,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Russian Imperial Movement,511,Terrorist Organization,"The Russian Imperial Movement (RIM) is an ideologically motivated violent extremist, nationalist group formed in 2002 and based in Russia, that has advocated for a return to Tsarist Russia and sought to create a mono-ethnic state led by a Russian autocratic monarchy. RIM's ideology is white supremacist, monarchist, ultra-nationalist, pro-Russian Orthodox, and antisemitic. Its members espouse xenophobic, Islamophobic, racist and anti-LGBTQ+ views. Group members and sympathizers have been linked to violent activity outside of Russia, and have sought to build ties to neo-Nazi organizations in Europe and the U.S. to offer them paramilitary training and bomb making instructions. In 2015, RIM co-founded the World National Conservative Movement (WNCM), a transnational movement ideologically aligned against the Western principles of 'liberalism, multiculturalism and tolerance, according to its own manifesto. RIM leaders intended the WNCM to facilitate the sharing of tactical skills across peer organizations and promote their own paramilitary training program. Furthermore, RIM has donated money to foreign neo-Nazi and white supremacist groups associated with the WNCM and provided training to members who have carried out bomb plots in their own countries. In 2016, RIM provided training to two Swedes who then bombed a bookstore café, a refugee shelter, and a campground that housed asylum seekers. RIM's paramilitary faction has also been present in conflicts in Ukraine, Syria, and Libya. RIM continues to train and sent fighters to Ukraine through its paramilitary faction, the Russian Imperial Legion, to support the Russian invasion of Ukraine.",RIM; Russkoie Imperskoe Dvizhenie; Russkoe Imperskoye Dvizheniye; RID; Imperial Legion; Russian Imperial Legion; RIL; Saint Petersburg Imperial Legion,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Samidoun,2024-03,Terrorist Organization,"Samidoun is an international network of organizers and activists that claims to be campaigning for the release of Palestinian prisoners in Israeli jails. The organization, which emerged in 2011, maintains at least 20 chapters across 12 countries, including Canada, the United States and France, amongst others. Samidoun also operates a chapter in Iran, which Canada has designated as a State Supporter of Terrorism. Many Palestinian prisoners for which Samidoun advocates for release have ties to terrorism, assassinations and countless attacks against Israel. Samidoun's ideology revolves exclusively around the worldview that Israel and Zionism are the greatest danger to the Middle East and the world. Their main goals are the destruction of Israel and establishing a Palestinian state in its place. To achieve this goal, Samidoun advocates all kinds of activities, including violence. The organization helps advance the interests of other listed terrorist entities such as the Popular Front for the Liberation of Palestine (PFLP) on social media and in public protests. According to open sources, Samidoun has close links with the PFLP, which is a listed terrorist entity in Canada, the United States and the European Union. The leadership of Samidoun is composed of reported current and former members of the PFLP.",Palestinian Prisoner Solidarity Network,2024-10-15,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Sendero Luminoso (SL),52,Terrorist Organization,"Established in 1980, Sendero Luminoso (SL) is a splinter group of the Communist Party of Peru. Its objective is to destroy existing Peruvian institutions and replace them with a communist peasant revolutionary regime which would eliminate foreign influence from the country. SL's area of operations is limited to Peru, with most of its activities in rural areas, but some of its attacks have taken place in the capital, Lima. Its tactics include indiscriminate bombing campaigns, political assassinations, as well as armed attacks against civilians and foreign interests in Peru. In March 2017, suspected SL snipers attacked a police convoy in Cumumpiari, killing three officers. On May 23, 2021, sixteen people were killed, including children, by alleged SL militants in San Miguel del Ene village. The SL said it was behind the attack and left pamphlets warning civilians to not vote in upcoming elections.",Shining Path; Partido Comunista del Peru en el Sendero Luminoso de Jose Carlos Mariategui; Communist Party of Peru on the Shining Path of Jose Carlos Mariategui; Partido Comunista del Peru; Communist Party of Peru; The Communist Party of Peru by the Shining Path of Jose Carlos Mariategui; Marxism; Leninism; Maoism; the Thoughts of Chairman Gonzalo; Revolutionary Student Front for the Shining Path of Mariategui; Communist Party of Peru - By Way of the Shining Path of Mariategui; PCP - por el Sendero Luminoso de Mariategui; PCP; PCP-SL,2003-02-12,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Taliban,53,Terrorist Organization,"The Taliban are an Islamic fundamentalist political movement in Afghanistan. The Taliban's main objectives are the removal of all foreign forces from Afghanistan, and the restoration of the Islamic Emirate of Afghanistan. Since the Taliban takeover and establishment of their de facto authority in 2021, the Taliban have refocused their efforts on internal cohesion and demonstrating authority domestically. The Taliban has used terrorist tactics, including the extensive use of improvised explosive devices and suicide bombings, to further their political objectives and are known to attack civilian targets, government compounds, military targets in built-up urban areas, as well as infrastructure projects. In 2011, the Taliban were responsible for the majority of civilian casualties in Afghanistan and carried out a number of attacks on girls' schools in particular. In January 2018, the Taliban claimed responsibility for an attack in Kabul which utilized an ambulance as a suicide vehicle-borne improvised explosive device to kill at least 95 people and wound more than 150. The Taliban have publicly carried out widespread and systemic violence, including beatings, torture, forced amputation, forced disappearances, public executions, and extrajudicial killings. In July 2020, a suicide bomber rammed an explosive-laden vehicle into the Shah Wali Kot police district headquarters in Kandahar. The Taliban claimed responsibility for the attack that killed three police officers and wounded at least 14 others, both civilians and police. Both before and after the formation of the so-called Islamic Emirate of Afghanistan, the Taliban have focused on the targeting of civilians for moral and political offences. This includes severe restrictions on women and girls in all aspects of public life, including dress code, education and employment, as well as strict enforcement of religious observance, such as attendance for men in mosques at prayer time. Public floggings and executions have become a common occurrence again since their reintroduction following the takeover in 2021. For example, in December 2022, 27 men and women were publicly flogged in a stadium in the northern province of Parwan on a variety of charges and in June 2024, 63 men and women were publicly flogged in the northern Sari Pul province.",Afghan Taliban; Movement of Islamic Students; Taleban; Islamic Movement of the Taliban (De Talebano Islami Ghurdzang or Tehrik); the Islamic Emirate of Afghanistan (De Afghanistan Islami Emarat),2013-05-09,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Tehrik-e-Taliban Pakistan (TTP),54,Terrorist Organization,"The Tehrik-e-Taliban Pakistan (TTP) was founded in December 2007 as an umbrella organization for pro-Taliban groups operating mostly in the Federally Administered Tribal Areas (FATA) and Khyber Pakhtunkhwa (formerly North West Frontier Province), Pakistan. It was led, first, by militant commander Baitullah Mehsud and, following his death, by Hakimullah Mehsud. The TTP aims to create a Taliban-style Islamic emirate under Sharia law, beginning in Pakistan's tribal areas and later extending to include Muslims elsewhere. The TTP strives to unite pro-Taliban groups in FATA and Khyber Pakhtunkhwa, and looked to assist the Afghan Taliban in their campaign against former President Karzai and international forces in Afghanistan. In 2018, the TTP redirected its fighters away from indiscriminately attacking civilian and religious minorities, advocating instead for targeted violence against the Pakistan’s military personnel and intelligence operatives. Additionally, in 2020, the TPP reduced their regional and global aspiration, rather focusing on their war with the Pakistani state. The TTP has conducted numerous armed, bomb and suicide attacks to achieve its objectives. The TTP has also engaged in criminal activity, such as extortion, theft, robbery and kidnapping for ransom to support its terrorist operations. The TTP maintains links to Al Qaida, Lashka-e-Jahngvi and Jaish-e-Mohammed, all listed terrorist groups under Canada's Criminal Code. Following the Taliban takeover of Afghanistan in 2021, the Afghan Taliban released hundreds of TTP militants from prisons in Kabul. The TTP publicly renewed its pledge of allegiance to the Afghan Taliban and has since enjoyed operational freedom in Afghanistan. On May 23, 2023, at least 50 TTP militants targeted an oil and gas exploration site in Mainji Khel, Pakistan, killing four personnel and two private guards.",Tehrik-e-Taliban Pakistan; Tehrik-I-Taliban Pakistan; Tehrik-e-Taliban; Pakistani Taliban; Tehreek-e-Taliban; Tehrik Taliban-I-Pakistan; Tehrik-i-Taliban Pakistan; Tehreek-e-Taliban Pakistan,2011-07-05,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Terrorgram Collective,2025-124,Terrorist Organization,"The Terrorgram Collective is a network of channels, group chats and users promoting white supremacist ideology on the digital communication platform Telegram. Emerging in the late 2010s, its members have solicited terrorist attacks against politicians, government officials, government buildings, energy facilities, and groups seen as ""enemies of the white race"". Terrorgram publishes terrorist guides and white supremacist propaganda dedicated to motivating mass killings - including the glorification of past terrorist attacks, calls to kill police and politicians, car bomb tutorials, and guides for sabotaging critical infrastructure. Terrorgram influencers are credited with inspiring and facilitating terrorist actions. On October 12, 2022, a 19-year-old individual frequently active in Terrorgram channels shot three people at a gay bar in Bratislava, Slovakia, killing two people and himself. His manifesto thanked the Terrorgram Collective for guiding him, and key Terrorgram figures claimed credit following the attack. On July 10, 2024, an 18 year-old was arrested for plotting an attack on an energy facility in New Jersey. Before his arrest, he was active in Terrorgram group chats, where he consumed and spread Terrorgram Collective material. The youth had told an undercover FBI agent to use tactics recommended in videos posted to Terrorgram channels. On August 8, 2025, a member of Terrorgram pled guilty in the United States to soliciting hate crimes, soliciting the murder of federal officials, and conspiring to provide material support to terrorists, among other charges after being arrested in September 2024 alongside another Terrorgram member. She had admitted to serving as the leader of the Terrorgram Collective between July 2022 and September 2024, during which she provided guidance to equip individuals to carry out attacks.",,2025-12-08,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
The Base,540,Terrorist Organization,"The Base is an ideologically motivated violent extremist group founded in 2018. The group has been primarily active in the U.S. and promotes a nihilistic and accelerationist rhetoric— an ideology embraced by white supremacists who have determined that a societal collapse is both imminent and necessary. They advocate for violent actions to create chaos, incite a race war, and establish a white ethno-state. The Base has distributed manuals for lone-wolf terror attacks, bomb making, counter-surveillance, and guerilla warfare to its members. The group also organized training camps in weaponry and military tactics around North America. The network specifically seeks to recruit individuals with military experience so that they can leverage their training. In March 2025, The Base called for targeted assassinations and attacks on critical infrastructure in Ukraine. On Telegram, the group offered cash for volunteer recruits to carry out attacks on critical infrastructure, military and police personnel and vehicles, government buildings, and Ukrainian politicians, particularly in the capital Kyiv and other cities.",,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
The Bishnoi Gang,102,Terrorist Organization,"The Bishnoi Gang is a transnational criminal organization operating primarily out of India. They have a presence in Canada, and are active in areas with significant diaspora communities. The Bishnoi Gang generates terror in the communities in which they operate through their involvement in extortions and intimidation. The Bishnoi Gang also engages in murder, shootings and arson. The Bishnoi Gang creates a climate of insecurity for Canadians in diaspora communities as it targets them, their prominent community members, their businesses, as well as cultural figures within the community.",Lawrence Bishnoi Gang; Bishnoi Group; Lawrence Bishnoi Group; Bishnoi Crime Group,2025-09-29,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Three Percenters,64,Terrorist Organization,"Three Percenters are a decentralized entity within the broader anti-government militia movement in the United States. The name “Three Percenters” is a reference to a false belief that the number of Americans who fought against the British during the Revolutionary War amounted to only three percent of the population at the time. The entity has a presence in the United States and Canada. Three Percenters have been linked to bomb plots targeting United States federal government buildings and Muslim communities. In November 2015, a Three Percenter was arrested and eventually convicted of shooting and wounding five men at a Black Lives Matter demonstration in Minneapolis, Minnesota. Most notably, in 2020, two of the group's leaders directed a plot to kidnap the Governor of Michigan that involved acquiring and detonating explosives to divert police attention from the kidnapping, as well as public executions of public officials by hanging them on live television.",3%ers; III%ers; Threepers,2021-06-25,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
